大类,小类,审核要求,判断结果,证据,判断说明,置信度
检查室要求,地面要求 - 基础承重,1. 磁体地垫总受力：Ingenia 3.0T 61KN，Ingenia MR 5300 37KN，Achieva 1.5T/Multiva 1.5T  12.5KN，Ingenia MR 7700/Ingenia Elition 64KN，Ingenia 3.0T CX /Achieva 3.0T  23KN / 地垫；Prodiva 40.6KN2. 病人床地垫：横向受力 4KN，向上受力 10KN（单个螺栓），向下受力 5KN   (Multiva 1.5T 是10KN）,UNKNOWN,p1:.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f7380>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,地面要求 - 地垫材料,1. 磁体地垫：≥20mm 厚铝板；2. 病人床地垫：≥20mm 厚不锈钢或铝片,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,地面要求 - 绝缘电阻,地面绝缘电阻 < 1×10⁹Ω/m²（参照 NEN EN IEC 61340-4）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,天花要求 - 吊顶,"1. 推荐非金属材料，需有降噪效果；2. 磁体上方留 1440x720mm 开口（无吊顶）(Achieva 1.5/Achieva 3.0t/Multiva1.5T/Ingenia 3.0CX），外侧设 1440x800mm 活动假顶(Achieva 1.5/Achieva 3.0t/Multiva1.5T/Ingenia 3.0T CX）3 磁体上方留 1160x550mm 开口（无吊顶）(Prodiva 1.5T,），外侧设 11600x600mm 活动假顶(Prodiva 1.5T,）；4 磁体上方留 1440x700mm 开口（无吊顶）(Ingenia系列 ），外侧设 1440x600mm 活动假顶Ingenia 系列）； 5. 磁体维修空间内无低于 2600mm 的悬吊物体；4. 金属部件需与射频屏蔽接地连接",UNKNOWN,p1:.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x114c36ea0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,天花要求 - 扬声器,1. 两个扬声器安装在吊顶上（磁体前后各一个），需在 100mT 磁场区域外；2. 吊顶需承受 25N 重量；3. 通过吊环（屏蔽公司提供）和安全绳索（飞利浦提供）固定，吊环距扬声器≤2.5m，承受 250N 拉力,UNKNOWN,p1:.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f58e0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,天花线槽要求 - 截面积,1. 最小：500x100mm（Ingenia MR 5300/Ingenia MR 7700）；600x100mm（其他型号）；2. 推荐：800x100mm（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,天花线槽要求 - 高度,假顶以上 80mm，距最终地面 2600mm,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,墙面要求,1. 墙面平整且垂直地面；2. 系统滤波板和失超管波导洞口尺寸 / 位置符合安装要求；3. 系统滤波板波导外表面突出屏蔽层，与装饰层齐平；4. 屏蔽商准备 M5/M8 螺丝、螺母,UNKNOWN,p1:墙 200 3.7 200 Tm 1.0 600 3.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一 | p1:管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f5430>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,噪声要求 - 测量值,1. 操作者位置：105dB (A)（Ingenia /Achieva系列/Multiva 1.5T/Ingenia Elition）；40dB (A)（Ingenia MR 7700 控制室）；99db(A)(Prodiva系列）2. 检查床前：101dB (A)（Ingenia /Achieva系列/Multiva 系列/Ingenia Elition ）96db(A)(Prodiva系列）；3. 磁体 1 米周围：99dB (A)（Ingenia 3.0T）；94db(A)(Prodiva)  75dB (A)（设备室，其他型号）,UNKNOWN,p1:ries exceeded with url: /compatible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1. | p1:.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进 | p1:.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f4920>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,噪声要求 - 降噪,1. 天花材料吸音系数 > 0.7；2. 主音频范围 600~1000Hz；3. 屏蔽门衰减 > 32dB；4. 屏蔽窗衰减 > 40dB；5. 屏蔽室外噪声≤屏蔽门处噪声,UNKNOWN,p1:2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f76b0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,照明要求 - 灯具类型,推荐白炽灯 / 卤素灯，禁止荧光灯、节能灯、常规 LED 灯、电子调光灯,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
检查室要求,照明要求 - 照度,1. 病人检查：200Lux；2. 安装维修：500Lux；3. 避免扫描床和磁体背后正上方设照明,UNKNOWN,p1:.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176b3b00>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
检查室要求,插座要求,1. 墙面安装 10A 通用电源插座；2. 吊顶上部隔层内（磁体顶部附近）安装 10A 插座 + 带开关照明灯（Ingenia 3.0T/CX/Achieva/Multiva）；16A 插座 + 带开关照明灯（Ingenia MR 5300/Ingenia MR 7700/Prodiva/Ingenia Elition）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备室要求,净尺寸 - 长度,1. 推荐：Ingenia 3.0T/CX>5000mm，Ingenia MR 5300>5500mm，Achieva 1.5T/3.0/Multiva 1.5T>5000mm，Ingenia MR 7700/Ingenia Elition >6500mm，Ingenia 3.0T CX>5000mm；  Prodiva1.5T > 6500mm2. 最小：Ingenia 3.0T≥4000mm，Ingenia MR 5300≥4800mm，Achieva 1.5T/Multiva1.5T≥4000mm，Ingenia MR 7700/Ingenia Elition≥5000mm，Ingenia 3.0T CX≥4000mm   Prodiva1.5T≥5000mm,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备室要求,净尺寸 - 宽度,1. 推荐：Ingenia 3.0T/CX>4000mm，Ingenia MR 5300>3500mm，Achieva 1.5T/3.0/Multiva1.5T>4000mm，Ingenia MR 7700/Ingenia Elition>3500mm，Ingenia 3.0T CX>4000mm；Prodiva1.5T >3500mm2. 最小：Ingenia 3.0T≥3000mm，Ingenia MR 5300≥2500mm，Achieva 1.5T/Multiva1.5T≥3000mm，Ingenia MR 7700/IngeniaElition≥2500mm，Ingenia 3.0T CX≥3000mm   Prodiva1.5T >2200mm,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备室要求,净尺寸 - 结构高度,1. 推荐：所有型号 > 3200mm；2. 最小：Ingenia 3.0T≥3000mm，Ingenia MR 5300≥2600mm，Achieva 1.5T/3.0/Multiva1.5T≥3000mm，Ingenia MR 7700/IngeniaElition≥2600mm，Ingenia 3.0T CX≥3000mm  Prodiva1.5T≥3000mm,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
设备室要求,设备最大允许磁场强度,1. 系统滤波板（SFB）：7mT（所有型号）；2. 主电源分配柜（MDU）：15mT（所有型号）；3. 梯度放大柜（GAC）：15mT（所有型号）；4. 数据处理柜（DACC）：5mT（所有型号）；5. 操作台：5mT（Ingenia 3.0T/Achieva 1.5T），15mT（Ingenia MR 5300/Ingenia MR 7700）,UNKNOWN,p1:.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10ed7ddc0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
设备室要求,供水要求 - 进水,进水管径 6 分，球阀，压力 0.15~0.6MPa，流量≥10L/min，符合市政供水要求,UNKNOWN,p1:口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0 1.3 235 分别接至空调、 地漏 通至室外下水沟 水冷机和LCC 装饰层 屏蔽层 原始墙 200 3.7 200 Tm 1.0 600,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f7530>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
设备室要求,供水要求 - 排水,排水口 > 2 寸，与排水系统相连,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
控制室要求,净尺寸 - 长度,1. 推荐：所有型号 > 4000mm；2. 最小：所有型号≥3200mm,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
控制室要求,净尺寸 - 宽度,1. 推荐：所有型号 > 3000mm；2. 最小：所有型号≥2000mm,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
控制室要求,净尺寸 - 结构高度,1. 推荐：Ingenia 3.0/Prodiva 1.5TT>3200mm，Ingenia MR 5300>3000mm，Achieva 1.5T/Multiva1.5T>3200mm，Ingenia MR 7700/Ingenia Elition>3200mm；2. 最小：Ingenia 3.0T≥2800mm，Ingenia MR 5300 /IngeniaElition无明确要求，Achieva 1.5T/3.0/Multiva1.5T≥2800mm,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
控制室要求,噪声要求,1. 测量值：操作台前 1 米处 55dB (A)（Ingenia 3.0T/Achieva 1.5T/3.0T/Multiva1.5T）；40dB (A)（Ingenia MR 5300/Ingenia MR 7700/IngeniaElition）；75db(A)(Prodiva 1.5T/Ingenia 3.0T CX)2. 降噪：天花材料吸音系数 > 0.6，主音频范围 600~1000Hz,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
控制室要求,照明要求,1. 日常：50~100Lux；2. 维修：500Lux；3. 避免光线直射控制台监视器,UNKNOWN,p1:ries exceeded with url: /compatible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f4f80>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
电气要求,主电源 - 电压 / 频率,380V±10%，AC，3P/N/PE，50Hz±1Hz,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
电气要求,主电源 - 额定容量,1. Ingenia 3.0T/Achieva 3.0T/Ingenia Elition：86kVA；2. Ingenia MR 5300：60kVA；3. Achieva 1.5T：60kVA（单梯）/80kVA（双梯）；4. Ingenia MR 7700：115kVA；5. Ingenia 3.0T CX：无明确要求（参考 Ingenia 3.0T）Prodiva 1.5T:50KVA    Achieva 3.0T   86kVA Multiva 1.5T  60KVA,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
电气要求,主电源 - 额定电流,1. Ingenia 3.0T/Ingenia Elition：124A；2. Ingenia MR 5300：90A；3. Ingenia MR 7700：175A  4 Prodiva 1.5 T100A 5 Achieva 1.5T/3.0T:125A(双梯) /100A(单梯)  6  Multiva 1.5T 100A,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
电气要求,主电源 - 电源内阻,1. Ingenia 3.0T/Multiva1.5T/Achieva 3.0T：<150mΩ；2. Ingenia MR 5300：<200mΩ；3. Achieva 1.5T/3.0T：≤200mΩ（单梯）/≤150mΩ（双梯）；4. Ingenia MR 7700：<110mΩ；5. Ingenia 3.0T CX：无明确要求（参考 Ingenia 3.0T）6   IngeniaElition <200mΩ（Elition S）; <150mΩ（Elition X）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
电气要求,辅助电源 - 额定功率,80kW（具体视空调 / 水冷设备而定）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
电气要求,辅助电源 - 主断路器,200A（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
电气要求,接地系统,1. 推荐：TN-S/TT 系统，严禁 TN-C 系统；2. 接地电阻：联合接地 < 1Ω，独立接地 < 4Ω（所有型号）；3. 保护接地用线线径≥35mm²，与相线相等或为相线 1/2  零地电压差：＜5V（建议＜1V RMS）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
网络要求,硬件要求,1. 千兆以太网，6 类网线，RJ45 插座；2. 需联通后处理工作站、激光相机等；3. Achieva 1.5T：建议 4 个网络端口（三用一备），位置在控制室观察窗下方距地 30cm,UNKNOWN,p1:0 Tm 1.0 600 3.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f6840>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
网络要求,远程服务（PRS）,1. 需 4G 信号或稳定外网连接；2. 支持远程诊断、维修、软件升级；3. 接入方式：ADSL（推荐）、固定 IP、动态 IP 等,UNKNOWN,p1:compatible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117718500>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
冷却水要求,水冷机室外机距离,与磁体中心距离≥5 米（所有型号）,UNKNOWN,p1:负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平排放， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10ed7dac0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
冷却水要求,基础平台,1. 尺寸：3m×2.5m（常规）；6m×2m（Ingenia MR 5300/Ingenia MR 7700 空调室外机）；2. 材料：C25 混凝土，厚度≥20cm，表面水平平整,UNKNOWN,p1:， 机平台(须远离失 预计长30米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 氦气排放,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f5100>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
冷却水要求,防护措施,室外机周围设栅栏 / 围挡，预留足够散热空间（≥1 米）,UNKNOWN,p1:Tm 1 Tm 5.0 8'进水管需加三通 Ø50mm的下水管 Tm 3.0 1.3 235 分别接至空调、 地漏 通至室外下水沟 水冷机和LCC 装饰层 屏蔽层 原始墙 200 3.7 200 Tm 1.0 600 3.5 3.6 3.1 室 | p1:水冷机和LCC 装饰层 屏蔽层 原始墙 200 3.7 200 Tm 1.0 600 3.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f4890>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
空调要求,检查室 - 温度,18~22°C（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
空调要求,检查室 - 相对湿度,40%~70%（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
空调要求,设备室 - 温度,15~24°C（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
空调要求,设备室 - 相对湿度,30%~70%（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
空调要求,控制室 - 温度,18~24°C（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
空调要求,控制室 - 相对湿度,30%~70%（所有型号）,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
空调要求,换气量,检查室每小时换气 5 次或至少 400m³/h（Ingenia 3.0T/Ingenia MR 5300/Ingenia MR 7700）；≥500m³/h（Achieva 1.5T）,UNKNOWN,p1:.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 | p1:.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f75f0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
空调要求,空调类型,检查室 / 设备室建议专用恒温恒湿空调，控制室建议中央空调或独立空调（避免噪声 / 温度波动）,UNKNOWN,p1:.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x2600高 Tm 3 洞口待磁体进入后再砌墙封闭 Tm 1 Tm 5.0 | p1:.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 | p1:.5 3.6 3.1 室内盘管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176b3830>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
准备区域 / 更衣室要求,设置要求,强烈建议在检查区域周边设置，避免病人误带铁磁物体进入检查室,UNKNOWN,,图纸中未找到可验证的相关证据,0.0
外部失超围栏,样式,"失超（氦气排放）管室外部分允许的最大压降为
50mBar。排放形式：1 出外墙排放，2 外墙开口排放 3 屋顶排放   外部失超围栏制作：根据实际场地坏境不同，选择对应的排放形式，做对应的失超围栏",UNKNOWN,p1:管与室外机之间 3.8 有管路连接，需在墙面 3.9 开洞，具体位置由工程 师现场沟通决定 设备室 3.2 3.3 室外失超管从磁体后方 3.4 至走廊，向下至负一预 3940 两台MR共用 留地洞到一楼外墙，抬升 空调与冷水机室外 至5m水平 | p1:以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 氦气排放区域 必须在失超管墙外设置防护栏和警 系 统 布 局 图 告标志，防止意外冻伤。 .redloh thgirypoc e,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x117718230>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
铁磁屏蔽,,"磁场屏蔽要求是根据现场实际情况，使控制区域最小化或者使磁场在检查室内。如
果需要额外的铁磁屏蔽，请联系飞利浦。客户负责与额外的铁磁屏蔽有关的一切费
用。在一定条件下，可以要求减小 0.5mT 磁力线的影响区域。在一定的限定条件下，通过在检
查室的墙体上增加铁磁屏蔽可以达到上述要求。磁体屏蔽由特定钢材组成，薄板厚度在
2~20 毫米之间。铁板的大小和厚度由飞利浦被动屏蔽计算所决定。",UNKNOWN,p1:米，90°弯头3个 超管排放区域) 6000长，2000宽， 高出地面200 C20以上基础 注： 3.11 0.5mT磁场控制区域，带心脏起搏 器、胰岛素泵和其他金属在体内的 病人，请勿进入。 更衣1 氦气排放区域 必须在失超管墙外设置防护栏 | p1:atible-mo...] 2050 7000 2400 Y 控制室 1.5 2.2 0.5mT出墙， 2.2 需做铁磁屏蔽 2.1 2500 3200 1.2 Z 5000 1.1 1.4 检查室 磁体入口，洞口大小： Tm 7 2300宽x,"大模型调用失败: HTTPSConnectionPool(host='dashscope.aliyuncs.com', port=443): Max retries exceeded with url: /compatible-mode/v1/chat/completions (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1176f76e0>: Failed to resolve 'dashscope.aliyuncs.com' ([Errno 8] nodename nor servname provided, or not known)""))",0.0
